"Country
"	"Party ID
"	"Party Abbrev
"	"Party Name
"	"Party Name  (English)
"
"SLOVAK
"	"2,806 "	"ANO
"	"Aliancia  Nového  Ob?ana
"	"Alliance  for a New Citizen
"
"SLOVAK
"	"2,807 "	"KSS
"	"Komunistická strana Slovenska
"	"Communist Party of Slovakia
"
"SLOVAK
"	"2,808 "	"PSNS
"	"Pravá Slovenská  národná strana
"	"Right Slovak  National Party
"
"SLOVAK
"	"2,809 "	"SNS
"	"Slovenská  národná strana
"	"Slovak  National Party
"
"SLOVAK
"	"2,810 "	"HZD
"	"Hnutie za demokraciu
"	"Movement for Democracy
"
"SLOVAK
"	"2,811 "	"SF
"	"Slobodné  fórum
"	"Free  Forum
"
"SLOVAK
"	"2,812 "	"SaS
"	"Sloboda  a Solidarita
"	"Freedom and  Solidarity
"
"SLOVAK
"	"2,813 "	"Most
"	"Most-Hid
"	"Most-Hid
"
SLOVEN  	" 2901
"	"LDS
"	"Liberalna demoracija Slovenije
"	"Liberal  Democracy of Slovenia
"
SLOVEN  	"2,902 "	"SDSS; SDS
"	"Socialdemokratska stranka Slovenije;
"	"Social Democratic Party of Slovenia;
"
SLOVEN  			"Slovenska  demokratska stranka
"	"Slovenian  Democratic Party
"
SLOVEN  	"2,903 "	"ZLSD
"	"Združena lista  socialnih  demokratov
"	"United  List  of Social Democrats
"
SLOVEN  	"2,904 "	"SLS-SKD;
"	"Slovenska  Ljudska Stranka;
"	"Slovenian  People’s  Party-Slovenian
"
SLOVEN  		"SLS
"	"Slovenska  ljudska  stranka
"	"Christian Democrats; Slovenian  People’s  Party
"
SLOVEN  	"2,905 "	"NSI
"	"Nova Slovenija-Kršcanska ljudska  stranka
"	"New Slovenia-Christian People’s  Party
"
SLOVEN  	"2,906 "	"DeSUS
"	"Demokrati?na stranka upokojencev Slovenije
"	"Democratic Party of Pensioners of Slovenia
"
SLOVEN  	"2,907 "	"SNS
"	"Slovenska  nacionalna stranka
"	"Slovenian  National Party
"
SLOVEN  	"2,908 "	"SMS
"	"Stranka Mladih  Slovenije
"	"Party of the  Slovenia  Youth
"
SLOVEN  	"2,909 "	"AS
"	"Aktivna Slovenija
"	"Active  Slovenia
"
SLOVEN  	"2,910 "	"Zares
"	"Zares
"	"Zares—For Real
"
